h_Country,h_RegNumber,h_Name,h_Website,merged,matchedOn,h_IsEcommerce,import from master,import from builtwith,score,h_HasMarketingDepartment,h_NOfEmployees,HasGoogleAdsOrFacebookAds,h_Industry1,h_Industry3,Industry_n_norm,h_HasFbOrGoogle,,h_Website_Match FB||GOOGLE
DK,48456316,TOYOTA DANMARK A/S,toyota.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,71,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Manufacture of motor vehicles,,,,droemmeland.dk
DK,31269997,SPORTS PHARMA ORTOSUPPORT ApS,sportspharma.dk,,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialised stores,,,,zwilling.com
DK,26330769,PIFFE LEGETØJ EN GROS ApS,eurotoys.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialised stores,,,,imerco.dk
DK,33051662,PLASTMO A/S,plastmo.fi,,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,60,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialised wholesale,,,,uid-suche.eu
DK,19704483,PILZ SKANDINAVIEN K/S,pilz.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of information and communication equipment,,,,udstillingssystemer.dk
DK,66607917,Otto Suenson,ottosuenson.dk,,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,37,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",,,,origreen.dk
DK,35516301,MAULUND A/S,incover.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,52,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communication equipment in specialised stores,,,,noie.com
DK,27924492,MERMAID MEDICAL A/S,mermaidmedical.dk,,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,36,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale on a fee or contract basis,,,,ninoo.dk
DK,20999705,MAUL BILER A/S,maulbiler.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,,,,japanesenaturalstones.com
DK,41962011,Mimi´s Universe ApS,lokalguiden.se,,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,italianbikestore.dk
DK,41101407,Loha I/S,loharchitects.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,issuu.com
DK,32277594,RunningXpert Group ApS,runningxpert.com,,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,58,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,was-abi.com
DK,20853549,Merch City,merchcity.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,57,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,hvidovresport.dk
DK,25044738,H.W.Larsen Bogholderi,hwl.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,41,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialised wholesale,,,,scubagear.dk
DK,36497718,HP INC DANMARK ApS,hp.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,77,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of information and communication equipment,,,,schiang-living.dk
DK,75142412,Hans Buch A/S,stahlfest.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,49,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of other machinery, equipment and supplies",,,,proshop.dk
DK,52503310,GROHE A/S,grohe.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,63,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialised wholesale,,,,preloved.dk
DK,36687118,FAGERHULT A/S,fagerhult.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,21,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of information and communication equipment,,,,maxizoo.dk
DK,49001517,ENDRESS & HAUSER A/S,endress.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,35,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of information and communication equipment,,,,madkurven.dk
